star,period,mean_mag
ak_cep,7.23268,13.17
cd_cas,7.80089,10.64
cf_cas,4.87522,10.80
cg_cas,4.36554,11.28
ch_cas,15.08619,10.79
cp_cep,17.859,10.58
cy_cas,14.37686,11.67
cz_cas,5.66438,11.73
dd_cas,9.812027,9.84
kk_cas,8.19165,11.13
kx_cyg,20.0467,11.72
rw_cas,14.7949,8.58
ry_cas,12.13726,9.95
sw_cas,5.44095,9.74
sz_cas,13.63289,9.60
v342_cas,3.91989,11.52
v396_cyg,33.247,10.943
v407_cas,4.5845526,11.47
v532_cyg,3.283612,9.11
v538_cyg,6.118961,10.50
v609_cyg,31.072,10.80
v621_cyg,5.864,11.74
v1467_cyg,48.6,11.89
vx_cyg,20.133407,10.08
