#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.616465 58.457562 13.745 5175.20 37.3 13.655 0.029
346.760257 58.459667 13.297 6663.35 45.3 13.381 0.024
346.846600 58.460809 15.662 1053.59 8.2 15.383 0.125
347.031706 58.464168 13.827 4232.50 30.0 13.873 0.036
347.031706 58.464168 13.827 8390.45 54.2 13.130 0.020
346.699238 58.466674 15.037 1666.96 12.7 14.885 0.082
346.998543 58.469336 15.616 920.97 7.2 15.529 0.141
346.876453 58.476306 15.466 964.09 7.5 15.480 0.135
346.741138 58.468682 14.352 2459.28 18.3 14.463 0.058
346.949031 58.475553 15.076 1319.48 10.1 15.139 0.102
346.745841 58.475774 12.808 11109.42 68.2 12.826 0.016
346.583771 58.474503 14.950 1476.42 11.4 15.017 0.091
346.972999 58.479426 15.207 1393.66 10.8 15.080 0.097
346.610502 58.477031 12.523 13472.73 79.4 12.616 0.014
347.059967 58.480660 11.618 33454.49 154.3 11.629 0.007
346.942932 58.482331 14.716 2135.33 16.1 14.616 0.065
346.554223 58.481618 13.028 8606.47 55.9 13.103 0.019
346.883541 58.484533 14.257 2626.50 19.5 14.391 0.054
346.803202 58.485069 15.197 1134.99 8.8 15.302 0.117
346.682839 58.490519 13.807 4159.88 30.0 13.892 0.036
346.654965 58.491805 14.197 3046.94 22.6 14.230 0.047
346.809027 58.495336 14.917 1755.20 13.4 14.829 0.078
346.990487 58.499150 14.792 1795.74 13.8 14.804 0.076
347.026863 58.499922 13.592 5148.78 36.1 13.661 0.030
346.719259 58.500210 13.104 8165.68 53.3 13.160 0.020
346.601430 58.500465 14.419 2890.06 21.6 14.288 0.049
347.064878 58.507292 14.361 2140.60 19.3 14.614 0.055
346.837438 58.506478 15.236 896.26 7.1 15.559 0.144
346.720334 58.505774 15.133 1616.89 12.4 14.918 0.084
346.567274 58.505243 13.078 8106.11 53.0 13.168 0.020
346.911853 58.508663 14.441 2543.22 19.0 14.426 0.056
346.895218 58.508951 15.192 1023.43 8.0 15.415 0.128
346.749570 58.510391 14.922 1333.29 10.3 15.128 0.100
346.612071 58.509701 14.448 2321.86 17.5 14.525 0.060
346.777289 58.513597 15.380 1123.41 8.8 15.314 0.117
346.550407 58.511853 14.516 1999.29 15.2 14.688 0.069
346.679714 58.517131 14.442 2462.98 18.6 14.461 0.057
346.736799 58.519480 15.127 1190.26 9.3 15.251 0.111
346.656850 58.525489 12.120 20170.91 107.3 12.178 0.010
346.740280 58.526863 13.742 4624.42 32.7 13.777 0.033
346.968134 58.529061 14.090 3001.00 22.1 14.247 0.048
346.764401 58.528412 15.158 1289.08 10.0 15.164 0.104
347.046846 58.532721 14.335 2784.49 20.7 14.328 0.051
346.531159 58.530002 14.547 3747.11 29.0 14.006 0.037
346.933036 58.533538 11.434 37594.93 163.6 11.502 0.007
346.747937 58.535305 15.010 1286.25 10.0 15.167 0.104
346.679625 58.534932 13.023 8518.01 55.3 13.114 0.019
346.722572 58.537083 14.437 924.47 7.2 15.525 0.140
346.852904 58.537315 14.217 3029.84 22.4 14.236 0.047
346.722572 58.537083 14.437 2406.08 18.2 14.487 0.058
346.983472 58.538919 13.659 4812.29 34.1 13.734 0.031
347.032524 58.539953 14.881 1379.99 10.7 15.090 0.097
346.963411 58.543264 12.305 16671.75 93.5 12.385 0.012
346.938214 58.547705 14.142 2914.42 21.6 14.279 0.049
346.944157 58.548510 15.502 1062.32 8.3 15.374 0.123
346.748099 58.548024 15.266 1381.40 10.7 15.089 0.097
346.780262 58.549194 13.679 4683.91 33.0 13.763 0.032
346.798596 58.550439 13.292 6459.71 43.3 13.414 0.025
346.928824 58.551684 14.900 1529.49 11.8 14.979 0.088
347.016236 58.553260 12.790 10932.99 67.6 12.843 0.016
346.984893 58.555142 14.769 1646.68 12.7 14.898 0.082
346.791983 58.554192 9.905 238528.50 472.9 9.496 0.002
346.728074 58.553834 15.101 1560.97 12.1 14.956 0.086
346.767472 58.555849 15.045 1301.62 10.1 15.154 0.102
347.023586 58.562206 14.490 2130.56 16.1 14.619 0.065
346.596925 58.562196 14.194 3136.95 23.4 14.199 0.045
346.986693 58.568932 13.135 7705.43 50.8 13.223 0.021
346.897013 58.568710 13.284 6220.59 42.2 13.455 0.025
346.778725 58.568901 14.018 3980.70 28.9 13.940 0.037
346.952555 58.571834 13.388 6075.93 41.9 13.481 0.026
346.992397 58.573346 11.040 54043.95 205.2 11.108 0.005
346.547662 58.572321 14.069 3029.16 22.5 14.237 0.047
346.940076 58.575919 14.405 2327.12 17.6 14.523 0.060
346.563992 58.574165 11.326 41124.38 173.6 11.405 0.006
