 Results from        : fad0004.fits
 Image taken on      : 2024-10-14
 Image taken at      : 18:49:15.564
 Modified Julian Day :  60597.78425
 Exposure time       :   8.00
 Scale (arcsec/pix)  :   0.99
 Radius(arcsec)      :   5.00
 Sky radius1(arcsec) :  15.00
 Sky radius2(arcsec) :  25.00
 Adopted constant    :  17.00
 Mean background     : 128.27
 Bgd rms scatter     :  29.50
 obj   n    xcen    ycen   npix   ipeak   bgd      total      mag    err       ra            dec
 star  1  1077.3    17.3     82     560  125.0     4647.0   10.0898  0.0645   314.119668    40.086596
 star  2   304.9     2.0     56    7107  129.4    21953.9    8.4039  0.0133   314.390698    40.044926
 star  3   564.5   812.5     80     443  129.3     2151.1   10.9261  0.1377   314.351029    40.276197
 star  4   363.4   756.2     82     859  131.7     4495.6   10.1258  0.0677   314.418409    40.251101
 star  5   868.9   729.7     80     525  126.0     3406.5   10.4269  0.0807   314.238289    40.268562
 star  6   687.3   673.3     81     756  128.6     3357.6   10.4427  0.0895   314.298847    40.244582
 star  7  1077.1   670.3     78     476  128.1     2872.6   10.6120  0.1024   314.160980    40.262565
 star  8   364.7   609.2     81     527  131.6     2195.6   10.9038  0.1336   314.408511    40.211514
 star  9   540.4   605.3     82     648  130.7     2857.5   10.6178  0.1003   314.346362    40.219007
 star 10   451.4   576.2     82    3036  133.1    16219.1    8.7327  0.0204   314.375861    40.206917
 star 11  1045.8   568.3     81    4031  126.8    37344.6    7.8272  0.0095   314.165463    40.233677
 star 12   681.5   565.5     80     425  130.9     1739.6   11.1566  0.1615   314.294172    40.215255
 star 13   370.6   545.3     82     636  132.9     2823.3   10.6308  0.1049   314.402349    40.194540
 star 14   674.3   463.7     82     411  131.6     1565.2   11.2713  0.1815   314.289950    40.187478
 star 15   955.3   459.3     82     968  127.5     5802.1    9.8488  0.0529   314.190574    40.199866
 star 16   539.5   451.0     82   16998  135.0    92459.4    6.8428  0.0048   314.336748    40.177473
 star 17   885.9   448.4     80    1145  124.9     7314.3    9.5973  0.0387   314.214389    40.193588
 star 18   888.5   419.6     82    3136  125.3    22032.1    8.4001  0.0153   314.211596    40.185975
 star 19   904.0   412.8     79     702  127.2     3832.7   10.2990  0.0814   314.205756    40.184842
 star 20   956.1   369.2     81    6315  127.0    41968.3    7.7004  0.0087   314.184523    40.175639
 star 21   205.5   357.3     82    1414  130.2     8088.7    9.4880  0.0385   314.448514    40.135844
 star 22   408.8   339.6     82     799  130.0     3896.1   10.2812  0.0741   314.375764    40.141038
 star 23   233.0   280.4     82   51314  134.7   341803.6    5.4233  0.0020   314.433908    40.116428
 star 24   602.0   271.3     80     550  129.4     2437.0   10.7906  0.1218   314.303203    40.132041
 star 25   953.3   265.1     79     485  125.7     2292.9   10.8567  0.1306   314.179068    40.147458
 star 26   955.7   224.3     82     575  125.8     3770.2   10.3168  0.0765   314.175628    40.136559
 star 27  1049.2   217.4     81     385  125.1     2063.4   10.9713  0.1350   314.142312    40.139366
 star 28   569.3   217.9     80     934  128.9     4054.7   10.2378  0.0705   314.311382    40.116048
 star 29    95.8   213.4     81     382  127.5     1702.0   11.1803  0.1717   314.477873    40.091692
 star 30   700.9   183.9     81    1188  125.3      903.4   11.8680  0.3003   314.262824    40.113361
 star 31   943.2    63.3     81     449  123.2     2973.8   10.5745  0.0927   314.169857    40.092519
 star 32   647.1    44.2     79    2002  127.1    10968.7    9.1573  0.0268   314.272914    40.073046
 star 33   633.6    41.6     81     412  127.4     1418.6   11.3781  0.2090   314.277437    40.071782
 star 34   419.1    21.2     80     927  125.9     4984.2   10.0137  0.0577   314.351738    40.055738
 star 35   853.8   826.4     81     348  126.0     2553.0   10.7401  0.1152   314.249798    40.294008
