#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
314.390594 40.044595 9.553 58540.73 219.4 10.258 0.005
314.119619 40.086535 12.856 5465.21 34.4 12.833 0.031
314.351871 40.055805 12.928 4794.53 29.9 12.975 0.036
314.206657 40.075924 13.982 2023.29 13.4 13.912 0.078
314.215435 40.078471 14.037 1782.45 11.9 14.049 0.088
314.277374 40.071703 14.052 1662.35 11.0 14.125 0.095
314.272777 40.073045 11.984 11265.88 62.5 12.048 0.017
314.169804 40.092502 13.451 2867.18 18.6 13.533 0.057
314.477887 40.091709 13.984 1779.06 11.7 14.052 0.089
314.311235 40.116028 13.160 3942.84 24.7 13.188 0.043
314.142258 40.139406 14.011 1754.91 11.7 14.066 0.089
314.175597 40.136554 13.062 4192.24 26.4 13.121 0.040
314.178964 40.147509 13.580 2930.05 19.0 13.510 0.056
314.303244 40.132066 13.611 2614.36 16.8 13.634 0.063
314.270500 40.152749 13.971 2286.53 15.0 13.779 0.070
314.375778 40.141020 13.214 3567.50 22.4 13.296 0.048
314.448539 40.135854 12.342 8251.24 47.5 12.386 0.023
314.184596 40.175669 10.560 42224.40 167.8 10.613 0.006
314.228129 40.171544 14.253 1630.04 10.8 14.147 0.096
314.205726 40.184867 13.139 3977.47 25.1 13.178 0.042
314.211650 40.185989 11.255 22234.23 107.0 11.309 0.010
314.214424 40.193639 12.528 7464.68 44.3 12.495 0.024
314.336780 40.177487 10.333 93164.64 274.3 9.754 0.004
314.199230 40.197470 14.077 2064.36 13.6 13.890 0.077
314.190591 40.199890 12.857 4869.60 30.2 12.958 0.035
314.289995 40.187490 14.264 1585.88 10.4 14.176 0.100
314.224028 40.199857 14.318 2086.55 13.8 13.878 0.076
314.402381 40.194555 13.625 2816.00 17.9 13.553 0.059
314.294157 40.215279 14.138 1693.02 11.1 14.105 0.094
314.165506 40.233654 10.734 37464.80 154.6 10.743 0.007
314.375853 40.206908 11.625 17539.56 88.1 11.567 0.012
314.346275 40.219034 13.510 2967.67 18.8 13.496 0.056
314.408543 40.211532 13.678 2651.45 17.0 13.618 0.062
314.160826 40.262678 13.476 2981.09 19.2 13.491 0.055
314.298817 40.244618 13.240 4189.74 26.3 13.122 0.041
314.238247 40.268640 13.251 3994.41 25.5 13.173 0.042
314.418388 40.251133 12.895 5127.95 31.1 12.902 0.034
314.284114 40.281319 14.009 2050.35 13.4 13.897 0.078
314.350985 40.276213 13.868 2098.50 13.7 13.872 0.077
